name,brand,price_rub,price_kzt,seller,seller_id,seller_rating,seller_total_sold,seller_age_months,feedbacks,category,source_file,risk_level,publication_date,first_review_datetime
тренажёр для всего тела с роликами и эспандером,Bravolo,1688.0,10128.0,Ayaulim,4193776.0,4.5,0.0,46.0,0.0,тренажеры,all_products.csv,low,2025-08-12,2025-08-15
Тренажёр-диск для похудения и фитнеса цвет рандом,bumblestar,824.0,4944.0,KIRIMARU,250066354.0,4.5,0.0,45.0,0.0,тренажеры,all_products.csv,low,2025-01-31,2025-02-07
Диск-твистер с эспандерами для похудения и фитнеса,новая год подарки,989.0,5934.0,К17,250033239.0,4.6,0.0,7.0,0.0,диски балансировочные,all_products.csv,low,2025-05-27,2025-06-07
Тренажер мини степпер с эспандерами для дома,FitStars,2942.0,17652.0,ИП Таубаева,659381.0,4.7,0.0,2.0,0.0,тренажеры,all_products.csv,low,2025-12-11,2025-12-25
Тренажер педальный для ног и рук с регулятором нагрузки,ANYSMART,1641.0,9846.0,ArtPinOk,162801.0,4.8,9.0,13.0,1.0,велотренажеры,all_products.csv,low,2025-09-09,2025-09-19
Тренажер для ног кардио домашний для реабилитации мини,imtrainer,1185.0,7110.0,ИП Синянская Е. А.,352271.0,4.8,27253.0,1.0,2781.0,тренажеры,all_products.csv,low,2025-12-04,2025-12-11
Валик для Спины массажный Ролик для МФР,FlyFit,1170.0,7020.0,FLYFIT,385747.0,4.9,28254.0,32.0,2854.0,валики спортивные,all_products.csv,low,2025-02-13,2025-02-27
Тренажёр для внутренней поверхности бёдер,MOLDINDIRA,582.0,3492.0,ИП Ананько,1112546.0,4.6,0.0,30.0,0.0,тренажеры,all_products.csv,low,2024-05-21,2024-05-26
Домашний тренажер для мышц живота с автоматическим возвратом,бан2,1782.0,10692.0,DARINI,1309616.0,4.6,0.0,38.0,0.0,тренажеры,all_products.csv,low,2025-05-19,2025-06-02
Эспандер с педалями для ног,Точка!,932.0,5592.0,NUNA Premium Line,250031562.0,4.4,0.0,28.0,0.0,тренажеры,all_products.csv,medium,2024-07-11,2024-07-27
Тренажёр диск здоровья металлический,,662.0,3972.0,BRB SHOP,250075919.0,4.7,0.0,11.0,0.0,диски для скольжения,all_products.csv,low,2025-07-29,2025-08-05
Эспандер тренажер для фитнеса,АС1101,613.0,3678.0,Tunlove,4253445.0,4.6,0.0,12.0,0.0,эспандеры,all_products.csv,low,2025-01-02,2025-01-07
виброплатформа для похудения антицеллюлитный тренажер,,4229.0,25374.0,MOVELO,4230117.0,4.3,0.0,11.0,0.0,тренажеры,all_products.csv,medium,2025-05-02,2025-05-08
Виброплатформа для похудения VibroFit V2,Genau,10009.0,60054.0,GENAU,185041.0,4.8,29.0,35.0,3.0,массажеры электрические,all_products.csv,low,2025-06-14,2025-07-01
Эспандер ленточный для фитнеса — универсальный тренажер,,791.0,4746.0,Zegift,4272652.0,4.7,0.0,44.0,0.0,коврики спортивные,all_products.csv,low,2023-07-12,2023-07-29
Тренажер для дома,фази212,665.0,3990.0,S.M.R,1235791.0,4.5,0.0,10.0,0.0,тренажеры,all_products.csv,low,2025-10-02,2025-10-15
Тренажер кистевой ONLYTOP,,667.0,4002.0,ANLINOVA,581830.0,4.7,0.0,44.0,0.0,эспандеры,all_products.csv,low,2025-02-09,2025-02-14
тренажер массажер для спины,,522.0,3132.0,ИП Касенур,4184580.0,4.5,294.0,17.0,31.0,наборы для фитнеса,all_products.csv,low,2025-09-15,2025-09-24
Домашний тренажер эспандер для тренировок,HASBY,665.0,3990.0,TRENDi,250025106.0,4.6,0.0,41.0,0.0,тренажеры,all_products.csv,low,2025-05-05,2025-05-14
Мостик для спины фитнес и реабилитация,,364.0,2184.0,BRB SHOP,250075919.0,4.7,0.0,29.0,0.0,тренажеры,all_products.csv,low,2023-09-03,2023-09-11
Тренажер для ног для тела для ягодиц,,536.0,3216.0,SONI,660527.0,4.8,10260.0,20.0,1047.0,тренажеры,all_products.csv,low,2024-11-25,2024-12-03
Универсальный тренажер для пресса 3-в-1,,1289.0,7734.0,HomeMarket24/7,917324.0,4.6,28.0,42.0,3.0,тренажеры,all_products.csv,low,2024-04-30,2024-05-13
Фитнес тренажер универсальный для бедер и ягодиц,NoName,1903.0,11418.0,Hermes,4514194.0,4.4,0.0,12.0,0.0,тренажеры,all_products.csv,medium,2025-03-30,2025-04-02
Многофункциональный тренажер для домашней фитнес-программы,,1495.0,8970.0,9641,250050397.0,4.7,0.0,34.0,0.0,тренажеры,all_products.csv,low,2024-06-09,2024-06-23
Тренажер - эспандер для дома,,715.0,4290.0,Римма,4037294.0,4.0,0.0,15.0,0.0,эспандеры,all_products.csv,medium,2025-11-02,2025-11-06
Тренажер для домашнего фитнеса,haruka,1417.0,8502.0,ИП Жумабаева,1143060.0,4.5,0.0,31.0,0.0,тренажеры,all_products.csv,low,2025-08-03,2025-08-10
"Тренажер мостик ортопедический для спины, для поясницы",Техдом,507.0,3042.0,Musiyau,338994.0,4.6,3360.0,42.0,350.0,тренажеры,all_products.csv,low,2025-09-19,2025-09-22
Тренажер зажим для ног,ДЮpro1000,748.0,4488.0,ДЮpro,4161282.0,4.1,9.0,17.0,1.0,тренажеры,all_products.csv,medium,2024-12-24,2025-01-08
"Тренажер для ног, для фитнеса, дома",Гулька90,665.0,3990.0,Макс,250053321.0,4.6,0.0,8.0,0.0,тренажеры,all_products.csv,low,2025-10-02,2025-10-15
Диск здоровья вращающийся тренажёр для похудения,ас349,989.0,5934.0,ZARINA,250035950.0,4.5,0.0,18.0,0.0,тренажеры,all_products.csv,low,2024-10-21,2024-10-28
степпер тренажер для дома 150 кг,,3885.0,23310.0,Authentic Quality Goods,250004810.0,4.3,0.0,38.0,0.0,тренажеры,all_products.csv,medium,2025-12-08,2025-12-13
BAYTABAQ Виброплатформа,без бренда,6091.0,36546.0,BAYTABAQ,250072544.0,4.7,0.0,17.0,0.0,тренажеры,all_products.csv,low,2025-11-18,2025-12-04
Тренажер для отжима и пресса SIT UP BAR,INDIGO Sport,1042.0,6252.0,INDIGO Sport,42932.0,4.9,623.0,16.0,63.0,тренажеры,all_products.csv,low,2025-02-09,2025-02-24
"Эспандер для ног, рук и ягодиц, тренажер для дома",НАС3,665.0,3990.0,FORTUNA,250050815.0,4.5,0.0,1.0,0.0,тренажеры,all_products.csv,low,2025-11-28,2025-12-02
Металлический диск здоровья для похудения,,662.0,3972.0,BRB SHOP,250075919.0,4.7,0.0,34.0,0.0,диски для скольжения,all_products.csv,low,2024-06-14,2024-06-21
"Эспандер тренажер,прочный и многофункциональный",ТА1612,736.0,4416.0,AUDEMAR,250082619.0,4.7,0.0,22.0,0.0,эспандеры,all_products.csv,low,2024-07-21,2024-08-01
Тренажер эспандер бабочка универсальный,,366.0,2196.0,AlEM,4168329.0,4.4,0.0,12.0,0.0,эспандеры,all_products.csv,medium,2025-09-03,2025-09-09
Тренажёр для пресса и ног эспандер многофункциональный,бан11,646.0,3876.0,Luna Luminosa,1173887.0,4.5,0.0,25.0,0.0,наборы для фитнеса,all_products.csv,low,2025-06-29,2025-07-03
Дыхательный тренажёр,,712.0,4272.0,ARVI SHOP,250051216.0,4.7,0.0,15.0,0.0,гантели,all_products.csv,low,2024-12-25,2024-12-28
Скамья силовая универсальная с эспандерами DT029,DFC,7594.0,45564.0,Дриада Спорт,510609.0,4.8,392.0,2.0,40.0,скамьи спортивные,all_products.csv,low,2025-12-19,2026-01-05
Тренажёр для пресса и мышц всего тела,BEST_QUALITY1,2166.0,12996.0,GoldenAi,250067885.0,4.5,0.0,42.0,0.0,тренажеры для сенсорной интеграции,all_products.csv,low,2023-05-20,2023-05-26
